psc_code,psc_description,psc_group,cyber_it_relevance_flag,cyber_it_relevance_reason,verification_status,psc_manual_vintage
7F20,IT AND TELECOM - IT MANAGEMENT TOOLS/PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7G20,IT AND TELECOM - NETWORK: ANALOG VOICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7G21,IT AND TELECOM - NETWORK: DIGITAL NETWORK PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7G22,"IT AND TELECOM - NETWORK: SATELLITE AND RF COMMUNICATIONS PRODUCTS (HW, PERPETUAL LICENSE SOFTWARE)",IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7H20,"IT AND TELECOM - PLATFORM PRODUCTS: DATABASE, MAINFRAME, MIDDLEWARE (HW, PERPETUAL LICENSE SOFTWARE)",IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7J20,IT AND TELECOM - SECURITY AND COMPLIANCE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7K20,IT AND TELECOM - STORAGE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AA23,R&D- AGRICULTURE: MARKETING (ADVANCED DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AB12,COMMUNITY AND REGIONAL DEVELOPMENT R&D SERVICES; COMMUNITY DEVELOPMENT; APPLIED RESEARCH,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC11,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; BASIC RESEARCH,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC12,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC13,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC14,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; R&D ADMINISTRATIVE EXPENSES,Professional Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC15,NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC16,R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC21,NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; BASIC RESEARCH,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC22,NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; APPLIED RESEARCH,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC23,NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; EXPERIMENTAL DEVELOPMENT,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC24,NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES,Professional Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC25,NATIONAL DEFENSE R&D SVCS; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D FACILITIES & MAJ EQUIP,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC31,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; BASIC RESEARCH,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC32,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC33,NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC51,R&D- DEFENSE SYSTEM: WEAPONS (BASIC RESEARCH),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC53,R&D- DEFENSE SYSTEM: WEAPONS (ADVANCED DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC57,R&D- DEFENSE SYSTEM: WEAPONS (COMMERCIALIZED),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC61,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC63,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC64,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC65,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC66,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (MANAGEMENT/SUPPORT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AC67,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (COMMERCIALIZED),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD21,R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD22,R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD24,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD25,R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD96,R&D- DEFENSE OTHER: OTHER (MANAGEMENT/SUPPORT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AD97,R&D- DEFENSE OTHER: OTHER (COMMERCIALIZED),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AE33,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ADVANCED DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AE35,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AF15,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; R&D FACILITIES & MAJ EQUIP",Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AG92,R&D- ENERGY: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AJ12,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AJ13,GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; EXPERIMENTAL DEVELOPMENT,Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AJ41,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (BASIC RESEARCH),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AJ45,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (OPERATIONAL SYSTEMS DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AN77,R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (COMMERCIALIZED),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AN91,R&D- MEDICAL: OTHER (BASIC RESEARCH),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AN95,R&D- MEDICAL: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AR12,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; APPLIED RESEARCH",Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AS15,"TRANSPORTATION R&D SVCS; SURFACE TRANSPORTATION, PUBLIC TRANSIT, & RAIL; R&D FACILITIES & MAJ EQUIP",Research and Development,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AZ14,R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AZ16,R&D- OTHER RESEARCH AND DEVELOPMENT (MANAGEMENT/SUPPORT),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
AZ17,R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED),,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
B506,SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC),Professional Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
B507,SPECIAL STUDIES/ANALYSIS- ECONOMIC,Professional Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
B541,SPECIAL STUDIES/ANALYSIS- DEFENSE,Professional Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
B543,SPECIAL STUDIES/ANALYSIS- ENERGY,Professional Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
B544,SPECIAL STUDIES/ANALYSIS- TECHNOLOGY,Professional Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
B554,SPECIAL STUDIES/ANALYSIS- ACQUISITION POLICY/PROCEDURES,Professional Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
